Player,Team,Position,Cap Hit,pv
Jesper Bratt,New Jersey Devils,F,"$7,875,000",7.875
Alex Debrincat,Detroit Red Wings,F,"$7,875,000",7.875
Kevin Fiala,Los Angeles Kings,F,"$7,875,000",7.875
Nick Suzuki,Montreal Canadiens,F,"$7,875,000",7.875
Victor Hedman,Tampa Bay Lightning,D,"$7,875,000",7.875
Shea Weber,Utah Hockey Club,D,"$7,857,143",7.857
Cole Caufield,Montreal Canadiens,F,"$7,850,000",7.85
Quinn Hughes,Vancouver Canucks,D,"$7,850,000",7.85
Sean Couturier,Philadelphia Flyers,F,"$7,750,000",7.75
Elias Lindholm,Boston Bruins,F,"$7,750,000",7.75
Jason Robertson,Dallas Stars,F,"$7,750,000",7.75
Dmitry Orlov,Carolina Hurricanes,D,"$7,750,000",7.75
Andrei Svechnikov,Carolina Hurricanes,F,"$7,750,000",7.75
Jared Spurgeon,Minnesota Wild,D,"$7,575,000",7.575
Aaron Ekblad,Florida Panthers,D,"$7,500,000",7.5
Morgan Rielly,Toronto Maple Leafs,D,"$7,500,000",7.5
Seth Jarvis,Carolina Hurricanes,F,"$7,420,087",7.42
Vince Dunn,Seattle Kraken,D,"$7,350,000",7.35
Noah Hanifin,Vegas Golden Knights,D,"$7,350,000",7.35
Devon Toews,Colorado Avalanche,D,"$7,250,000",7.25
Filip Hronek,Vancouver Canucks,D,"$7,250,000",7.25
Nico Hischier,New Jersey Devils,F,"$7,250,000",7.25
Clayton Keller,Utah Hockey Club,F,"$7,150,000",7.15
Matthew Beniers,Seattle Kraken,F,"$7,142,857",7.143
Kevin Hayes,Pittsburgh Penguins,F,"$7,142,857",7.143
Tage Thompson,Buffalo Sabres,F,"$7,142,857",7.143
Brandon Montour,Seattle Kraken,D,"$7,142,857",7.143
Kyle Connor,Winnipeg Jets,F,"$7,142,857",7.143
Dylan Cozens,Buffalo Sabres,F,"$7,100,000",7.1
Gabriel Landeskog,Colorado Avalanche,F,"$7,000,000",7.0
Anze Kopitar,Los Angeles Kings,F,"$7,000,000",7.0
Matt Boldy,Minnesota Wild,F,"$7,000,000",7.0
Brady Skjei,Nashville Predators,D,"$7,000,000",7.0
Nazem Kadri,Calgary Flames,F,"$7,000,000",7.0
Marc-Edouard Vlasic,San Jose Sharks,D,"$7,000,000",7.0
Troy Terry,Anaheim Ducks,F,"$7,000,000",7.0
Anders Lee,New York Islanders,F,"$7,000,000",7.0
Ivan Provorov,Columbus Blue Jackets,D,"$6,750,000",6.75
Ryan McDonagh,Tampa Bay Lightning,D,"$6,750,000",6.75
Brock Boeser,Vancouver Canucks,F,"$6,650,000",6.65
Torey Krug,St Louis Blues,D,"$6,500,000",6.5
Tom Wilson,Washington Capitals,F,"$6,500,000",6.5
Hampus Lindholm,Boston Bruins,D,"$6,500,000",6.5
Martin Necas,Carolina Hurricanes,F,"$6,500,000",6.5
Justin Faulk,St Louis Blues,D,"$6,500,000",6.5
Cam Fowler,Anaheim Ducks,D,"$6,500,000",6.5
Brendan Gallagher,Montreal Canadiens,F,"$6,500,000",6.5
Claude Giroux,Ottawa Senators,F,"$6,500,000",6.5
Chris Kreider,New York Rangers,F,"$6,500,000",6.5
Brayden Schenn,St Louis Blues,F,"$6,500,000",6.5
Brandon Hagel,Tampa Bay Lightning,F,"$6,500,000",6.5
Colton Parayko,St Louis Blues,D,"$6,500,000",6.5
Ryan Ellis,Philadelphia Flyers,D,"$6,250,000",6.25
Damon Severson,Columbus Blue Jackets,D,"$6,250,000",6.25
Chandler Stephenson,Seattle Kraken,F,"$6,250,000",6.25
Jeff Petry,Detroit Red Wings,D,"$6,250,000",6.25
MacKenzie Weegar,Calgary Flames,D,"$6,250,000",6.25
Quinton Byfield,Los Angeles Kings,F,"$6,250,000",6.25
Alex Killorn,Anaheim Ducks,F,"$6,250,000",6.25
Anthony Cirelli,Tampa Bay Lightning,F,"$6,250,000",6.25
Josh Morrissey,Winnipeg Jets,D,"$6,250,000",6.25
Mattias Ekholm,Edmonton Oilers,D,"$6,250,000",6.25
Travis Sanheim,Philadelphia Flyers,D,"$6,250,000",6.25
Owen Tippett,Philadelphia Flyers,F,"$6,200,000",6.2
Ryan Pulock,New York Islanders,D,"$6,150,000",6.15
Brad Marchand,Boston Bruins,F,"$6,125,000",6.125
Valeri Nichushkin,Colorado Avalanche,F,"$6,125,000",6.125
Kris Letang,Pittsburgh Penguins,D,"$6,100,000",6.1
Evgeni Malkin,Pittsburgh Penguins,F,"$6,100,000",6.1
Taylor Hall,Chicago Blackhawks,F,"$6,000,000",6.0
Nikolaj Ehlers,Winnipeg Jets,F,"$6,000,000",6.0
Tyler Toffoli,San Jose Sharks,F,"$6,000,000",6.0
Sean Durzi,Utah Hockey Club,D,"$6,000,000",6.0
Ondrej Palat,New Jersey Devils,F,"$6,000,000",6.0
Jonas Brodin,Minnesota Wild,D,"$6,000,000",6.0
Brock Nelson,New York Islanders,F,"$6,000,000",6.0
William Karlsson,Vegas Golden Knights,F,"$5,900,000",5.9
Neal Pionk,Winnipeg Jets,D,"$5,875,000",5.875
Vladislav Gavrikov,Los Angeles Kings,D,"$5,875,000",5.875
Nick Schmaltz,Utah Hockey Club,F,"$5,850,000",5.85
Pavel Buchnevich,St Louis Blues,F,"$5,800,000",5.8
Esa Lindell,Dallas Stars,D,"$5,800,000",5.8
Andrew Mangiapane,Washington Capitals,F,"$5,800,000",5.8
Matt Roy,Washington Capitals,D,"$5,750,000",5.75
Adam Pelech,New York Islanders,D,"$5,750,000",5.75
Casey Mittelstadt,Colorado Avalanche,F,"$5,750,000",5.75
Trevor Zegras,Anaheim Ducks,F,"$5,750,000",5.75
Gustav Forsling,Florida Panthers,D,"$5,750,000",5.75
T.J. Oshie,Washington Capitals,F,"$5,750,000",5.75
Andrew Copp,Detroit Red Wings,F,"$5,625,000",5.625
Vincent Trocheck,New York Rangers,F,"$5,625,000",5.625
Jaden Schwartz,Seattle Kraken,F,"$5,500,000",5.5
Brett Pesce,New Jersey Devils,D,"$5,500,000",5.5
Zach Hyman,Edmonton Oilers,F,"$5,500,000",5.5
Josh Anderson,Montreal Canadiens,F,"$5,500,000",5.5
Adrian Kempe,Los Angeles Kings,F,"$5,500,000",5.5
Jake DeBrusk,Vancouver Canucks,F,"$5,500,000",5.5
Sean Monahan,Columbus Blue Jackets,F,"$5,500,000",5.5
Andrei Kuzmenko,Calgary Flames,F,"$5,500,000",5.5
Tyler Bertuzzi,Chicago Blackhawks,F,"$5,500,000",5.5
Phillip Danault,Los Angeles Kings,F,"$5,500,000",5.5
Travis Konecny,Philadelphia Flyers,F,"$5,500,000",5.5
Jonathan Marchessault,Nashville Predators,F,"$5,500,000",5.5
Andre Burakovsky,Seattle Kraken,F,"$5,500,000",5.5
Oliver Bjorkstrand,Seattle Kraken,F,"$5,400,000",5.4
Teuvo Teravainen,Chicago Blackhawks,F,"$5,400,000",5.4
Jaccob Slavin,Carolina Hurricanes,D,"$5,300,000",5.3
Joel Eriksson Ek,Minnesota Wild,F,"$5,250,000",5.25
Charlie Coyle,Boston Bruins,F,"$5,250,000",5.25
Erik Cernak,Tampa Bay Lightning,D,"$5,200,000",5.2
Shea Theodore,Vegas Golden Knights,D,"$5,200,000",5.2
Yanni Gourde,Seattle Kraken,F,"$5,166,667",5.167
Evander Kane,Edmonton Oilers,F,"$5,125,000",5.125
Bryan Rust,Pittsburgh Penguins,F,"$5,125,000",5.125
Ryan Nugent-Hopkins,Edmonton Oilers,F,"$5,125,000",5.125
Rasmus Ristolainen,Philadelphia Flyers,D,"$5,100,000",5.1
J.T. Compher,Detroit Red Wings,F,"$5,100,000",5.1
Mikael Granlund,San Jose Sharks,F,"$5,000,000",5.0
Ryan Strome,Anaheim Ducks,F,"$5,000,000",5.0
Alexander Wennberg,San Jose Sharks,F,"$5,000,000",5.0
Samuel Girard,Colorado Avalanche,D,"$5,000,000",5.0
Jared McCann,Seattle Kraken,F,"$5,000,000",5.0
Joel Farabee,Philadelphia Flyers,F,"$5,000,000",5.0
Rickard Rakell,Pittsburgh Penguins,F,"$5,000,000",5.0
Anton Lundell,Florida Panthers,F,"$5,000,000",5.0
Jean-Gabriel Pageau,New York Islanders,F,"$5,000,000",5.0
Jason Zucker,Buffalo Sabres,F,"$5,000,000",5.0
Kyle Palmieri,New York Islanders,F,"$5,000,000",5.0
Ivan Barbashev,Vegas Golden Knights,F,"$5,000,000",5.0
Alexander Wennberg,San Jose Sharks,F,"$5,000,000",5.0
Joel Farabee,Philadelphia Flyers,F,"$5,000,000",5.0
Jared McCann,Seattle Kraken,F,"$5,000,000",5.0
Drake Batherson,Ottawa Senators,F,"$4,975,000",4.975
Conor Garland,Vancouver Canucks,F,"$4,950,000",4.95
Blake Coleman,Calgary Flames,F,"$4,900,000",4.9
Dylan Demelo,Winnipeg Jets,D,"$4,900,000",4.9
Mike Matheson,Montreal Canadiens,D,"$4,875,000",4.875
Jesperi Kotkaniemi,Carolina Hurricanes,F,"$4,820,000",4.82
Alex Tuch,Buffalo Sabres,F,"$4,750,000",4.75
Ilya Mikheyev,Chicago Blackhawks,F,"$4,750,000",4.75
Jordan Eberle,Seattle Kraken,F,"$4,750,000",4.75
Vladimir Tarasenko,Detroit Red Wings,F,"$4,750,000",4.75
Pavel Zacha,Boston Bruins,F,"$4,750,000",4.75
Ben Chiarot,Detroit Red Wings,D,"$4,750,000",4.75
Jamie Oleksiak,Seattle Kraken,D,"$4,600,000",4.6
Artyom Zub,Ottawa Senators,D,"$4,600,000",4.6
Rasmus Sandin,Washington Capitals,D,"$4,600,000",4.6
Alex Vlasic,Chicago Blackhawks,D,"$4,600,000",4.6
Jakob Chychrun,Washington Capitals,D,"$4,600,000",4.6
Philip Broberg,St Louis Blues,D,"$4,580,917",4.581
Rasmus Andersson,Calgary Flames,D,"$4,550,000",4.55
Josh Manson,Colorado Avalanche,D,"$4,500,000",4.5
Ryan O'Reilly,Nashville Predators,F,"$4,500,000",4.5
Nick Foligno,Chicago Blackhawks,F,"$4,500,000",4.5
Brandon Saad,St Louis Blues,F,"$4,500,000",4.5
Michael Bunting,Pittsburgh Penguins,F,"$4,500,000",4.5
Mason Marchment,Dallas Stars,F,"$4,500,000",4.5
Mikael Backlund,Calgary Flames,F,"$4,500,000",4.5
Ryan Graves,Pittsburgh Penguins,D,"$4,500,000",4.5
Christopher Tanev,Toronto Maple Leafs,D,"$4,500,000",4.5
Artturi Lehkonen,Colorado Avalanche,F,"$4,500,000",4.5
Ryan Lindgren,New York Rangers,D,"$4,500,000",4.5
Christian Dvorak,Montreal Canadiens,F,"$4,450,000",4.45
Filip Chytil,New York Rangers,F,"$4,437,500",4.438
Sam Bennett,Florida Panthers,F,"$4,425,000",4.425
John Marino,Utah Hockey Club,D,"$4,400,000",4.4
Connor Murphy,Chicago Blackhawks,D,"$4,400,000",4.4
Lawson Crouse,Utah Hockey Club,F,"$4,300,000",4.3
Mattias Samuelsson,Buffalo Sabres,D,"$4,285,714",4.286
Andreas Athanasiou,Chicago Blackhawks,F,"$4,250,000",4.25
Jason Dickinson,Chicago Blackhawks,F,"$4,250,000",4.25
Trevor Moore,Los Angeles Kings,F,"$4,200,000",4.2
Carter Verhaeghe,Florida Panthers,F,"$4,166,667",4.167
Mikey Anderson,Los Angeles Kings,D,"$4,125,000",4.125
Mats Zuccarello,Minnesota Wild,F,"$4,125,000",4.125
Brandon Carlo,Boston Bruins,D,"$4,100,000",4.1
Nick Jensen,Ottawa Senators,D,"$4,050,000",4.05
Marcus Pettersson,Pittsburgh Penguins,D,"$4,025,175",4.025
Adam Larsson,Seattle Kraken,D,"$4,000,000",4.0
Radko Gudas,Anaheim Ducks,D,"$4,000,000",4.0
Thomas Harley,Dallas Stars,D,"$4,000,000",4.0
Patrick Kane,Detroit Red Wings,F,"$4,000,000",4.0
Nino Niederreiter,Winnipeg Jets,F,"$4,000,000",4.0
Alex Iafallo,Winnipeg Jets,F,"$4,000,000",4.0
Robby Fabbri,Anaheim Ducks,F,"$4,000,000",4.0
Nick Leddy,St Louis Blues,D,"$4,000,000",4.0
Viktor Arvidsson,Edmonton Oilers,F,"$4,000,000",4.0
Ryan Hartman,Minnesota Wild,F,"$4,000,000",4.0
Erik Gudbranson,Columbus Blue Jackets,D,"$4,000,000",4.0
Noah Dobson,New York Islanders,D,"$4,000,000",4.0
Ross Colton,Colorado Avalanche,F,"$4,000,000",4.0
Marcus Foligno,Minnesota Wild,F,"$4,000,000",4.0
David Perron,Ottawa Senators,F,"$4,000,000",4.0
Alec Martinez,Chicago Blackhawks,D,"$4,000,000",4.0
Brenden Dillon,New Jersey Devils,D,"$4,000,000",4.0
Dawson Mercer,New Jersey Devils,F,"$4,000,000",4.0
Jake McCabe,Toronto Maple Leafs,D,"$4,000,000",4.0
Evan Bouchard,Edmonton Oilers,D,"$3,900,000",3.9
K'Andre Miller,New York Rangers,D,"$3,872,000",3.872
Kirill Marchenko,Columbus Blue Jackets,F,"$3,850,000",3.85
Bowen Byram,Buffalo Sabres,D,"$3,850,000",3.85
Joel Edmundson,Los Angeles Kings,D,"$3,850,000",3.85
Matt Dumba,Dallas Stars,D,"$3,750,000",3.75
Alexandre Carrier,Nashville Predators,D,"$3,750,000",3.75
Shane Pinto,Ottawa Senators,F,"$3,750,000",3.75
TJ Brodie,Chicago Blackhawks,D,"$3,750,000",3.75
Boone Jenner,Columbus Blue Jackets,F,"$3,750,000",3.75
Max Domi,Toronto Maple Leafs,F,"$3,750,000",3.75
Frank Vatrano,Anaheim Ducks,F,"$3,650,000",3.65
Barclay Goodrow,San Jose Sharks,F,"$3,641,667",3.642
Sean Walker,Carolina Hurricanes,D,"$3,600,000",3.6
Anthony Duclair,New York Islanders,F,"$3,500,000",3.5
Thomas Novak,Nashville Predators,F,"$3,500,000",3.5
Anthony Mantha,Calgary Flames,F,"$3,500,000",3.5
Brandon Tanev,Seattle Kraken,F,"$3,500,000",3.5
Scott Mayfield,New York Islanders,D,"$3,500,000",3.5
Alexander Kerfoot,Utah Hockey Club,F,"$3,500,000",3.5
David Savard,Montreal Canadiens,D,"$3,500,000",3.5
Warren Foegele,Los Angeles Kings,F,"$3,500,000",3.5
Oliver Ekman-Larsson,Toronto Maple Leafs,D,"$3,500,000",3.5
Yakov Trenin,Minnesota Wild,F,"$3,500,000",3.5
Eeli Tolvanen,Seattle Kraken,F,"$3,475,000",3.475
Gabriel Vilardi,Winnipeg Jets,F,"$3,437,500",3.438
Matias Maccelli,Utah Hockey Club,F,"$3,425,000",3.425
Jonas Siegenthaler,New Jersey Devils,D,"$3,400,000",3.4
Joel Armia,Montreal Canadiens,F,"$3,400,000",3.4
Jake Walman,San Jose Sharks,D,"$3,400,000",3.4
Janis Jérôme Moser,Tampa Bay Lightning,D,"$3,375,000",3.375
Aliaksei Protas,Washington Capitals,F,"$3,375,000",3.375
Kirby Dach,Montreal Canadiens,F,"$3,362,500",3.362
Connor Clifton,Buffalo Sabres,D,"$3,333,333",3.333
Adam Lowry,Winnipeg Jets,F,"$3,250,000",3.25
Dakota Joshua,Vancouver Canucks,F,"$3,250,000",3.25
Radek Faksa,St Louis Blues,F,"$3,250,000",3.25
Carson Soucy,Vancouver Canucks,D,"$3,250,000",3.25
Ilya Lyubushkin,Dallas Stars,D,"$3,250,000",3.25
Cole Perfetti,Winnipeg Jets,F,"$3,250,000",3.25
Cody Ceci,San Jose Sharks,D,"$3,250,000",3.25
Mario Ferraro,San Jose Sharks,D,"$3,250,000",3.25
Shayne Gostisbehere,Carolina Hurricanes,D,"$3,200,000",3.2
Michael Rasmussen,Detroit Red Wings,F,"$3,200,000",3.2
Gustav Nyquist,Nashville Predators,F,"$3,185,000",3.185
Nick Paul,Tampa Bay Lightning,F,"$3,150,000",3.15
Brian Dumoulin,Anaheim Ducks,D,"$3,150,000",3.15
Erik Haula,New Jersey Devils,F,"$3,150,000",3.15
Ian Cole,Utah Hockey Club,D,"$3,100,000",3.1
Yegor Sharangovich,Calgary Flames,F,"$3,100,000",3.1
Henri Jokiharju,Buffalo Sabres,D,"$3,100,000",3.1
Jordan Martinook,Carolina Hurricanes,F,"$3,050,000",3.05
Evan Rodrigues,Florida Panthers,F,"$3,000,000",3.0
Jordan Greenway,Buffalo Sabres,F,"$3,000,000",3.0
Trevor van Riemsdyk,Washington Capitals,D,"$3,000,000",3.0
Adam Henrique,Edmonton Oilers,F,"$3,000,000",3.0
Jalen Chatfield,Carolina Hurricanes,D,"$3,000,000",3.0
Olli Maatta,Detroit Red Wings,D,"$3,000,000",3.0
Matt Duchene,Dallas Stars,F,"$3,000,000",3.0
Scott Laughton,Philadelphia Flyers,F,"$3,000,000",3.0
Jeff Skinner,Edmonton Oilers,F,"$3,000,000",3.0
Eetu Luostarinen,Florida Panthers,F,"$3,000,000",3.0
Timothy Liljegren,Toronto Maple Leafs,D,"$3,000,000",3.0
Nicolas Roy,Vegas Golden Knights,F,"$3,000,000",3.0
Tyler Myers,Vancouver Canucks,D,"$3,000,000",3.0
Mathieu Joseph,St Louis Blues,F,"$2,950,000",2.95
Jordan Staal,Carolina Hurricanes,F,"$2,900,000",2.9
Alex Newhook,Montreal Canadiens,F,"$2,900,000",2.9
Colton Sissons,Nashville Predators,F,"$2,857,143",2.857
Brayden McNabb,Vegas Golden Knights,D,"$2,850,000",2.85
Jack Roslovic,Carolina Hurricanes,F,"$2,800,000",2.8
Jan Rutta,San Jose Sharks,D,"$2,750,000",2.75
Luke Kunin,San Jose Sharks,F,"$2,750,000",2.75
Andrew Peeke,Boston Bruins,D,"$2,750,000",2.75
Brett Kulak,Edmonton Oilers,D,"$2,750,000",2.75
Zach Whitecloud,Vegas Golden Knights,D,"$2,750,000",2.75
Stefan Noesen,New Jersey Devils,F,"$2,750,000",2.75
Luke Schenn,Nashville Predators,D,"$2,750,000",2.75
Brock McGinn,Anaheim Ducks,F,"$2,750,000",2.75
Matt Grzelcyk,Pittsburgh Penguins,D,"$2,750,000",2.75
Nick Seeler,Philadelphia Flyers,D,"$2,700,000",2.7
William Borgen,Seattle Kraken,D,"$2,700,000",2.7
Martin Fehervary,Washington Capitals,D,"$2,675,000",2.675
Tanner Jeannot,Los Angeles Kings,F,"$2,665,000",2.665
Barrett Hayton,Utah Hockey Club,F,"$2,650,000",2.65
Noah Cates,Philadelphia Flyers,F,"$2,625,000",2.625
Michael Amadio,Ottawa Senators,F,"$2,600,000",2.6
Niko Mikkola,Florida Panthers,D,"$2,500,000",2.5
Cody Glass,Pittsburgh Penguins,F,"$2,500,000",2.5
Sean Kuraly,Columbus Blue Jackets,F,"$2,500,000",2.5
Jonathan Drouin,Colorado Avalanche,F,"$2,500,000",2.5
Dante Fabbro,Nashville Predators,D,"$2,500,000",2.5
Alexander Romanov,New York Islanders,D,"$2,500,000",2.5
Miles Wood,Colorado Avalanche,F,"$2,500,000",2.5
Tucker Poolman,Colorado Avalanche,D,"$2,500,000",2.5
Casey Cizikas,New York Islanders,F,"$2,500,000",2.5
Jacob Middleton,Minnesota Wild,D,"$2,450,000",2.45
Lars Eller,Pittsburgh Penguins,F,"$2,450,000",2.45
Jesper Fast,Carolina Hurricanes,F,"$2,400,000",2.4
David Kampf,Toronto Maple Leafs,F,"$2,400,000",2.4
Kaapo Kakko,New York Rangers,F,"$2,400,000",2.4
Garnet Hathaway,Philadelphia Flyers,F,"$2,375,000",2.375
Alexis Lafreniere,New York Rangers,F,"$2,325,000",2.325
Trent Frederic,Boston Bruins,F,"$2,300,000",2.3
Jamie Drysdale,Philadelphia Flyers,D,"$2,300,000",2.3
Nicolas Hague,Vegas Golden Knights,D,"$2,294,150",2.294
Dylan Holloway,St Louis Blues,F,"$2,290,457",2.29
Joseph Veleno,Detroit Red Wings,F,"$2,275,000",2.275
Danton Heinen,Vancouver Canucks,F,"$2,250,000",2.25
Evgenii Dadonov,Dallas Stars,F,"$2,250,000",2.25
Cole Sillinger,Columbus Blue Jackets,F,"$2,250,000",2.25
Philipp Kurashev,Chicago Blackhawks,F,"$2,250,000",2.25
Braden Schneider,New York Rangers,D,"$2,200,000",2.2
Mason Appleton,Winnipeg Jets,F,"$2,166,667",2.167
Morgan Frost,Philadelphia Flyers,F,"$2,100,000",2.1
Connor McMichael,Washington Capitals,F,"$2,100,000",2.1
Calle Jarnkrok,Toronto Maple Leafs,F,"$2,100,000",2.1
Alexandre Texier,St Louis Blues,F,"$2,100,000",2.1
Nick Bjugstad,Utah Hockey Club,F,"$2,100,000",2.1
Frederick Gaudreau,Minnesota Wild,F,"$2,100,000",2.1
Yegor Chinakhov,Columbus Blue Jackets,F,"$2,100,000",2.1
Ryan McLeod,Buffalo Sabres,F,"$2,100,000",2.1
Conor Sheary,Tampa Bay Lightning,F,"$2,000,000",2.0
Erik Gustafsson,Detroit Red Wings,D,"$2,000,000",2.0
Ryan Donato,Chicago Blackhawks,F,"$2,000,000",2.0
Vladislav Namestnikov,Winnipeg Jets,F,"$2,000,000",2.0
Sam Lafferty,Buffalo Sabres,F,"$2,000,000",2.0
Ryan Lomberg,Calgary Flames,F,"$2,000,000",2.0
Nico Sturm,San Jose Sharks,F,"$2,000,000",2.0
Klim Kostin,San Jose Sharks,F,"$2,000,000",2.0
Juuso Valimaki,Utah Hockey Club,D,"$2,000,000",2.0
Vincent Desharnais,Vancouver Canucks,D,"$2,000,000",2.0
Vladislav Namestnikov,Winnipeg Jets,F,"$2,000,000",2.0
Vincent Desharnais,Vancouver Canucks,D,"$2,000,000",2.0
Kevin Stenlund,Utah Hockey Club,F,"$2,000,000",2.0
Morgan Geekie,Boston Bruins,F,"$2,000,000",2.0
Noel Acciari,Pittsburgh Penguins,F,"$2,000,000",2.0
William Carrier,Carolina Hurricanes,F,"$2,000,000",2.0
Sonny Milano,Washington Capitals,F,"$1,900,000",1.9
Brett Howden,Vegas Golden Knights,F,"$1,900,000",1.9
Ryan Poehling,Philadelphia Flyers,F,"$1,900,000",1.9
Blake Lizotte,Pittsburgh Penguins,F,"$1,850,000",1.85
Brandon Duhaime,Washington Capitals,F,"$1,850,000",1.85
Pavel Dorofeyev,Vegas Golden Knights,F,"$1,835,000",1.835
Tomas Tatar,New Jersey Devils,F,"$1,800,000",1.8
Kent Johnson,Columbus Blue Jackets,F,"$1,800,000",1.8
Teddy Blueger,Vancouver Canucks,F,"$1,800,000",1.8
Carl Grundstrom,San Jose Sharks,F,"$1,800,000",1.8
Jake Bean,Calgary Flames,D,"$1,750,000",1.75
Nicolas Deslauriers,Philadelphia Flyers,F,"$1,750,000",1.75
Jack Drury,Carolina Hurricanes,F,"$1,725,000",1.725
Yegor Zamula,Philadelphia Flyers,D,"$1,700,000",1.7
Jake Evans,Montreal Canadiens,F,"$1,700,000",1.7
Pius Suter,Vancouver Canucks,F,"$1,600,000",1.6
Cameron York,Philadelphia Flyers,D,"$1,600,000",1.6
Jack McBain,Utah Hockey Club,F,"$1,599,999",1.6
Isac Lundestrom,Anaheim Ducks,F,"$1,500,000",1.5
Oskar Sundqvist,St Louis Blues,F,"$1,500,000",1.5
Kiefer Sherwood,Vancouver Canucks,F,"$1,500,000",1.5
Nicolas Aube-Kubel,Buffalo Sabres,F,"$1,500,000",1.5
